PC;Tamaño (nxn);Algoritmo;Lenguaje;Repetición;Tiempo (ns)
2;400;1;c++;1;0.8184
2;400;1;c++;1;0.8206
2;400;1;c++;1;0.8182
2;400;1;c++;1;0.8176
2;400;1;c++;1;0.8168
2;400;1;c++;1;0.8170
2;400;1;c++;1;0.8195
2;400;1;c++;1;0.8185
2;400;1;c++;1;0.8213
2;400;1;c++;1;0.8210
2;400;1;c++;1;0.8175
2;400;1;c++;1;0.8215
2;400;1;c++;1;0.8182
2;400;1;c++;1;0.8205
2;400;1;c++;1;0.8177
2;400;1;c++;1;0.8211
2;400;1;c++;1;0.8205
2;400;1;c++;1;0.8207
2;400;1;c++;1;0.8173
2;400;1;c++;1;0.8179
2;400;1;c++;1;0.8210
2;400;1;c++;1;0.8212
2;400;1;c++;1;0.8178
2;400;1;c++;1;0.8182
2;400;1;c++;1;0.8168
2;400;1;c++;1;0.8215
2;400;1;c++;1;0.8207
2;400;1;c++;1;0.8203
1;500;1;c++;1;0.7704
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.8028
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.8008
1;500;1;c++;1;0.7680
1;500;1;c++;1;0.7688
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7996
1;500;1;c++;1;0.7680
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.8000
1;500;1;c++;1;0.7680
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7688
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.8004
1;500;1;c++;1;0.7680
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.8916
1;500;1;c++;1;1.0460
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.9592
1;500;1;c++;1;0.7688
1;500;1;c++;1;0.8008
1;500;1;c++;1;0.7680
1;500;1;c++;1;0.7688
1;500;1;c++;1;0.7688
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.8008
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7688
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.8004
1;500;1;c++;1;0.7680
1;500;1;c++;1;0.7688
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.8004
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7688
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.8584
1;500;1;c++;1;0.7680
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7688
1;500;1;c++;1;0.7688
1;500;1;c++;1;0.8004
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7996
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7972
1;500;1;c++;1;0.7996
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7688
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.8000
1;500;1;c++;1;0.7680
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7688
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7996
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7688
1;500;1;c++;1;1.0760
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.8016
1;500;1;c++;1;0.7680
1;500;1;c++;1;0.7680
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.8004
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7688
1;500;1;c++;1;0.8604
1;500;1;c++;1;0.8220
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7688
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.8008
1;500;1;c++;1;0.7684
1;500;1;c++;1;0.7684
2;500;1;c++;1;1.4106
2;500;1;c++;1;1.3701
2;500;1;c++;1;0.9159
2;500;1;c++;1;0.8179
2;500;1;c++;1;0.8152
2;500;1;c++;1;0.9305
2;500;1;c++;1;0.8188
2;500;1;c++;1;0.8191
2;500;1;c++;1;0.8161
2;500;1;c++;1;0.8153
2;500;1;c++;1;0.8184
2;500;1;c++;1;0.8187
2;500;1;c++;1;0.8160
2;500;1;c++;1;0.8151
2;500;1;c++;1;0.8152
2;500;1;c++;1;0.8392
2;500;1;c++;1;0.8186
2;500;1;c++;1;0.8190
2;500;1;c++;1;0.8154
2;500;1;c++;1;0.8158
2;500;1;c++;1;0.8184
2;500;1;c++;1;0.8186
2;500;1;c++;1;0.8183
2;500;1;c++;1;0.8186
2;500;1;c++;1;0.8188
2;500;1;c++;1;0.8186
2;500;1;c++;1;0.8184
2;500;1;c++;1;0.8184
2;500;1;c++;1;0.8158
2;500;1;c++;1;0.8184
2;500;1;c++;1;0.8164
2;500;1;c++;1;0.8155
2;500;1;c++;1;0.8189
2;500;1;c++;1;0.8157
2;500;1;c++;1;0.8444
2;500;1;c++;1;0.8188
2;500;1;c++;1;0.8164
2;500;1;c++;1;0.8192
2;500;1;c++;1;0.8152
2;500;1;c++;1;0.8154
2;500;1;c++;1;0.8176
2;500;1;c++;1;0.8155
2;500;1;c++;1;0.8179
2;500;1;c++;1;0.8186
2;500;1;c++;1;0.8155
2;500;1;c++;1;0.8186
2;500;1;c++;1;0.8152
2;500;1;c++;1;0.8155
2;500;1;c++;1;0.8166
2;500;1;c++;1;0.8156
2;500;1;c++;1;0.8182
2;500;1;c++;1;0.8180
2;500;1;c++;1;0.8154
2;500;1;c++;1;0.8181
2;500;1;c++;1;0.8494
2;500;1;c++;1;0.8155
2;500;1;c++;1;0.8185
2;500;1;c++;1;0.8186
2;500;1;c++;1;0.8184
2;500;1;c++;1;0.8190
2;500;1;c++;1;0.8157
2;500;1;c++;1;0.8157
2;500;1;c++;1;0.8190
2;500;1;c++;1;0.8158
2;500;1;c++;1;0.8156
2;500;1;c++;1;0.8192
2;500;1;c++;1;0.8181
2;500;1;c++;1;0.8185
2;500;1;c++;1;0.8183
2;500;1;c++;1;0.8184
2;500;1;c++;1;0.8171
2;500;1;c++;1;0.8180
2;500;1;c++;1;0.8186
2;500;1;c++;1;0.8292
2;500;1;c++;1;0.8156
2;500;1;c++;1;0.8158
2;500;1;c++;1;0.8192
2;500;1;c++;1;0.8186
2;500;1;c++;1;0.8188
2;500;1;c++;1;0.8184
2;500;1;c++;1;0.8186
2;500;1;c++;1;0.8167
2;500;1;c++;1;0.8190
2;500;1;c++;1;0.8179
2;500;1;c++;1;0.8155
2;500;1;c++;1;0.8176
2;500;1;c++;1;0.8178
2;500;1;c++;1;0.8182
2;500;1;c++;1;0.8419
2;500;1;c++;1;0.8188
2;500;1;c++;1;0.8190
2;500;1;c++;1;0.8181
2;500;1;c++;1;0.8469
2;500;1;c++;1;0.8183
2;500;1;c++;1;0.8181
2;500;1;c++;1;0.8184
2;500;1;c++;1;0.8182
2;500;1;c++;1;0.8180
2;500;1;c++;1;0.8165
2;500;1;c++;1;0.8186
1;600;1;c++;1;0.7764
1;600;1;c++;1;0.7956
1;600;1;c++;1;0.7950
1;600;1;c++;1;0.7722
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.7939
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.7942
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7722
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7939
1;600;1;c++;1;0.7714
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.7939
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7936
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.8381
1;600;1;c++;1;0.8450
1;600;1;c++;1;0.9217
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.8081
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7939
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7722
1;600;1;c++;1;0.8719
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7944
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7939
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7722
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.7939
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.7947
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7922
1;600;1;c++;1;0.7725
1;600;1;c++;1;0.7936
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.8369
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.7942
1;600;1;c++;1;0.9133
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.8808
1;600;1;c++;1;0.7714
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.7939
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.8950
1;600;1;c++;1;0.7714
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7936
1;600;1;c++;1;0.7714
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7722
1;600;1;c++;1;0.7942
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.8753
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7942
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7942
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.8025
1;600;1;c++;1;0.7931
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.7719
1;600;1;c++;1;0.7936
1;600;1;c++;1;0.8825
1;600;1;c++;1;0.7717
1;600;1;c++;1;0.8806
1;600;1;c++;1;0.7717
2;600;1;c++;1;0.9722
2;600;1;c++;1;0.9734
2;600;1;c++;1;0.9725
2;600;1;c++;1;0.9724
2;600;1;c++;1;0.9725
2;600;1;c++;1;0.9723
2;600;1;c++;1;1.0165
2;600;1;c++;1;0.9781
2;600;1;c++;1;0.8648
2;600;1;c++;1;0.8189
2;600;1;c++;1;0.8189
2;600;1;c++;1;0.8187
2;600;1;c++;1;0.8194
2;600;1;c++;1;0.8192
2;600;1;c++;1;0.8190
2;600;1;c++;1;0.8186
2;600;1;c++;1;0.8185
2;600;1;c++;1;0.8190
2;600;1;c++;1;0.8193
2;600;1;c++;1;0.8413
2;600;1;c++;1;0.8194
2;600;1;c++;1;0.8191
2;600;1;c++;1;0.8191
2;600;1;c++;1;0.8197
2;600;1;c++;1;0.8191
2;600;1;c++;1;0.8194
2;600;1;c++;1;0.8193
2;600;1;c++;1;0.8190
2;600;1;c++;1;0.8188
2;600;1;c++;1;0.8191
2;600;1;c++;1;0.8189
2;600;1;c++;1;0.8190
2;600;1;c++;1;0.8305
2;600;1;c++;1;0.8185
2;600;1;c++;1;0.8197
2;600;1;c++;1;0.8191
2;600;1;c++;1;0.8186
2;600;1;c++;1;0.8181
2;600;1;c++;1;0.8189
2;600;1;c++;1;0.8190
2;600;1;c++;1;0.8191
2;600;1;c++;1;0.8184
2;600;1;c++;1;0.8193
2;600;1;c++;1;0.8187
2;600;1;c++;1;0.8198
2;600;1;c++;1;0.8203
2;600;1;c++;1;0.8545
2;600;1;c++;1;0.8189
2;600;1;c++;1;0.8191
2;600;1;c++;1;0.8192
2;600;1;c++;1;0.8191
2;600;1;c++;1;0.8194
2;600;1;c++;1;0.8189
2;600;1;c++;1;0.8195
2;600;1;c++;1;0.8197
2;600;1;c++;1;0.8191
2;600;1;c++;1;0.8191
2;600;1;c++;1;0.8186
2;600;1;c++;1;0.8189
2;600;1;c++;1;0.8315
2;600;1;c++;1;0.8187
2;600;1;c++;1;0.8202
2;600;1;c++;1;0.8196
2;600;1;c++;1;0.8189
2;600;1;c++;1;0.8195
2;600;1;c++;1;0.8189
2;600;1;c++;1;0.8194
2;600;1;c++;1;0.8194
2;600;1;c++;1;0.8187
2;600;1;c++;1;0.8199
2;600;1;c++;1;0.8190
2;600;1;c++;1;0.8191
2;600;1;c++;1;0.8601
2;600;1;c++;1;0.8193
2;600;1;c++;1;0.8197
2;600;1;c++;1;0.8186
2;600;1;c++;1;0.8198
2;600;1;c++;1;0.8184
2;600;1;c++;1;0.8188
2;600;1;c++;1;0.8185
2;600;1;c++;1;0.8191
2;600;1;c++;1;0.8186
2;600;1;c++;1;0.8191
2;600;1;c++;1;0.8191
2;600;1;c++;1;0.8187
2;600;1;c++;1;0.8188
2;600;1;c++;1;0.8301
2;600;1;c++;1;0.8193
2;600;1;c++;1;0.8198
2;600;1;c++;1;0.8190
2;600;1;c++;1;0.8188
2;600;1;c++;1;0.8187
2;600;1;c++;1;0.8186
2;600;1;c++;1;0.8191
2;600;1;c++;1;0.8195
2;600;1;c++;1;0.8198
2;600;1;c++;1;0.8190
2;600;1;c++;1;0.8189
2;600;1;c++;1;0.8191
2;600;1;c++;1;0.8409
1;700;1;c++;1;0.7747
1;700;1;c++;1;0.7718
1;700;1;c++;1;0.8922
1;700;1;c++;1;0.7694
1;700;1;c++;1;0.7847
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.8814
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7692
1;700;1;c++;1;0.8051
1;700;1;c++;1;0.7686
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7845
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7847
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.8137
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7847
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7843
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7833
1;700;1;c++;1;0.7686
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7843
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7690
1;700;1;c++;1;0.7841
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.9047
1;700;1;c++;1;0.7686
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7843
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7843
1;700;1;c++;1;0.7906
1;700;1;c++;1;0.7686
1;700;1;c++;1;0.7843
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.8216
1;700;1;c++;1;0.7963
1;700;1;c++;1;0.7690
1;700;1;c++;1;0.7847
1;700;1;c++;1;0.7686
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7843
1;700;1;c++;1;0.7686
1;700;1;c++;1;0.7845
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7833
1;700;1;c++;1;0.7841
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.8090
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.8831
1;700;1;c++;1;0.7863
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7843
1;700;1;c++;1;0.7690
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7847
1;700;1;c++;1;0.7690
1;700;1;c++;1;0.7984
1;700;1;c++;1;0.7690
1;700;1;c++;1;0.7690
1;700;1;c++;1;0.7845
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7849
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7843
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7847
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7982
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7686
1;700;1;c++;1;0.7843
1;700;1;c++;1;0.7688
1;700;1;c++;1;1.0122
1;700;1;c++;1;0.7698
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7849
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7847
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.8055
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.8104
1;700;1;c++;1;0.7688
1;700;1;c++;1;0.7847
1;700;1;c++;1;0.7690
1;700;1;c++;1;0.7690
1;700;1;c++;1;0.7847
2;700;1;c++;1;0.8178
2;700;1;c++;1;0.8166
2;700;1;c++;1;0.8250
2;700;1;c++;1;0.8157
2;700;1;c++;1;0.8162
2;700;1;c++;1;0.8148
2;700;1;c++;1;0.8155
2;700;1;c++;1;0.8153
2;700;1;c++;1;0.8240
2;700;1;c++;1;0.8157
2;700;1;c++;1;0.8137
2;700;1;c++;1;0.8159
2;700;1;c++;1;0.8151
2;700;1;c++;1;0.8155
2;700;1;c++;1;0.8153
2;700;1;c++;1;0.8134
2;700;1;c++;1;0.8154
2;700;1;c++;1;0.8159
2;700;1;c++;1;0.8303
2;700;1;c++;1;0.8156
2;700;1;c++;1;0.8160
2;700;1;c++;1;0.8130
2;700;1;c++;1;0.8157
2;700;1;c++;1;0.8155
2;700;1;c++;1;0.8133
2;700;1;c++;1;0.8134
2;700;1;c++;1;0.8135
2;700;1;c++;1;0.8150
2;700;1;c++;1;0.8620
2;700;1;c++;1;0.8153
2;700;1;c++;1;0.8160
2;700;1;c++;1;0.8134
2;700;1;c++;1;0.8154
2;700;1;c++;1;0.8147
2;700;1;c++;1;0.8128
2;700;1;c++;1;0.8130
2;700;1;c++;1;0.8153
2;700;1;c++;1;0.8153
2;700;1;c++;1;0.8229
2;700;1;c++;1;0.8131
2;700;1;c++;1;0.8161
2;700;1;c++;1;0.8152
2;700;1;c++;1;0.8130
2;700;1;c++;1;0.8152
2;700;1;c++;1;0.8147
2;700;1;c++;1;0.8154
2;700;1;c++;1;0.8149
2;700;1;c++;1;0.8135
2;700;1;c++;1;0.8302
2;700;1;c++;1;0.8156
2;700;1;c++;1;0.8155
2;700;1;c++;1;0.8130
2;700;1;c++;1;0.8422
2;700;1;c++;1;0.8134
2;700;1;c++;1;0.8157
2;700;1;c++;1;0.8134
2;700;1;c++;1;0.8153
2;700;1;c++;1;0.8155
2;700;1;c++;1;0.8552
2;700;1;c++;1;0.8166
2;700;1;c++;1;0.8160
2;700;1;c++;1;0.8158
2;700;1;c++;1;0.8155
2;700;1;c++;1;0.8158
2;700;1;c++;1;0.8133
2;700;1;c++;1;0.8133
2;700;1;c++;1;0.8151
2;700;1;c++;1;0.8356
2;700;1;c++;1;0.8155
2;700;1;c++;1;0.8151
2;700;1;c++;1;0.8154
2;700;1;c++;1;0.8130
2;700;1;c++;1;0.8151
2;700;1;c++;1;0.8149
2;700;1;c++;1;0.8155
2;700;1;c++;1;0.8137
2;700;1;c++;1;0.8132
2;700;1;c++;1;0.8304
2;700;1;c++;1;0.8162
2;700;1;c++;1;0.8154
2;700;1;c++;1;0.8161
2;700;1;c++;1;0.8139
