PC;Tamaño (nxn);Algoritmo;Lenguaje;Repetición;Media;Varianza;Desviación;Tamaño muestra
1;500;1;c++;1;0.7855;0.0023;0.0484;0.1439
1;1000;5;go;3;2.3460;0.0020;0.0400;0.1010
1;1100;4;c++;3;1.0293;0.0011;0.0330;0.0670
1;800;1;c++;1;0.7858;0.0021;0.0458;0.1291
1;600;5;go;1;2.3270;0.0010;0.0290;0.0520
1;900;2;go;2;3.2250;0.0040;0.0620;0.2360
1;900;1;c++;1;0.7933;0.0011;0.0325;0.0647
1;500;5;go;2;2.3030;0.0020;0.0410;0.1010
1;500;4;go;1;2.9590;0.0020;0.0420;0.1110
1;700;2;go;2;3.3340;0.0040;0.0640;0.2500
1;700;3;go;2;5.2240;0.0140;0.1180;0.8610
1;1100;1;c++;1;0.7957;0.0008;0.0276;0.0467
1;400;5;go;3;2.3070;0.0020;0.0440;0.1190
1;800;3;go;2;5.0960;0.0070;0.0860;0.4590
1;800;2;go;1;3.2320;0.0050;0.0720;0.3150
1;800;1;go;3;2.5460;0.0030;0.0580;0.2070
1;800;5;c++;1;0.8635;0.0016;0.0397;0.0966
1;800;3;go;3;5.3740;0.0530;0.2310;3.2670
1;600;1;c++;2;0.8270;0.0036;0.0596;0.2182
1;1100;5;go;1;2.3210;0.0010;0.0340;0.0730
1;500;5;c++;3;0.9043;0.0030;0.0545;0.1824
1;800;4;c++;3;1.0400;0.0002;0.0126;0.0098
1;400;3;c++;1;1.1862;0.0011;0.0330;0.0670
1;900;3;c++;2;1.4303;0.0010;0.0312;0.0600
1;1100;1;go;1;2.5580;0.0040;0.0650;0.2570
1;1000;3;go;3;5.5560;0.1130;0.3360;6.9240
1;700;3;c++;3;1.2843;0.0030;0.0552;0.1873
1;400;2;c++;3;1.0581;0.0083;0.0909;0.5080
1;800;1;go;1;2.5740;0.0010;0.0350;0.0770
1;1100;3;c++;2;9.2367;0.0489;0.2211;3.0046
1;1000;4;go;2;2.9430;0.0060;0.0790;0.3820
1;1000;2;go;2;3.1660;0.0050;0.0720;0.3160
1;1100;2;go;2;3.2300;0.0050;0.0700;0.3020
1;600;4;c++;1;1.0446;0.0083;0.0909;0.5076
1;1000;3;c++;1;1.5076;0.0011;0.0325;0.0651
1;1100;2;go;1;3.1980;0.0050;0.0720;0.3180
1;1100;3;go;3;6.6690;0.0360;0.1910;2.2420
1;400;4;go;2;2.9910;0.0050;0.0670;0.2770
1;700;4;go;2;2.9540;0.0030;0.0550;0.1860
1;1100;4;go;1;2.9270;0.0060;0.0750;0.3420
1;400;2;c++;1;1.0619;0.0132;0.1150;0.8133
1;700;1;c++;1;0.7842;0.0012;0.0342;0.0719
1;900;1;go;1;2.5420;0.0030;0.0570;0.1990
1;400;5;go;1;2.3400;0.0420;0.2060;2.6030
1;800;4;go;2;2.9330;0.0040;0.0630;0.2400
1;700;3;go;3;5.2400;0.2960;0.5440;18.2230
1;600;3;c++;1;1.3836;0.0057;0.0757;0.3519
1;1000;3;c++;2;1.4317;0.0011;0.0325;0.0651
1;600;2;go;1;3.2560;0.0010;0.0310;0.0610
1;600;5;c++;1;0.8680;0.0005;0.0234;0.0336
1;600;3;go;1;5.0680;0.0030;0.0550;0.1890
1;1000;5;c++;3;0.8348;0.0024;0.0494;0.1500
1;900;4;go;2;2.9130;0.0050;0.0710;0.3090
1;900;3;go;2;5.2010;0.0170;0.1310;1.0590
1;600;2;go;2;3.2570;0.0110;0.1040;0.6590
1;1000;2;c++;3;0.9907;0.0010;0.0313;0.0604
1;800;1;c++;2;0.7842;0.0006;0.0246;0.0371
1;700;5;c++;1;0.9005;0.0015;0.0381;0.0891
1;800;5;go;3;2.3240;0.0010;0.0320;0.0630
1;900;3;go;3;5.4720;0.0240;0.1560;1.4950
1;700;2;go;1;3.2320;0.0030;0.0550;0.1860
1;500;5;go;3;2.2920;0.0030;0.0510;0.1580
1;800;3;go;1;5.3600;0.0090;0.0960;0.5690
1;1000;1;go;2;2.5560;0.0020;0.0470;0.1380
1;400;2;c++;2;1.0852;0.0076;0.0874;0.4694
1;600;4;go;3;2.9310;0.0040;0.0630;0.2470
1;500;2;go;3;3.2500;0.0010;0.0320;0.0630
1;800;2;go;2;3.2310;0.0040;0.0600;0.2240
1;600;3;go;2;5.3890;0.0090;0.0930;0.5300
1;900;5;go;1;2.3170;0.0010;0.0380;0.0900
1;1000;4;c++;1;1.0380;0.0006;0.0235;0.0338
1;900;4;c++;2;1.0443;0.0003;0.0160;0.0157
1;1100;1;go;2;2.6110;0.0560;0.2370;3.4540
1;500;2;go;1;3.2690;0.0020;0.0420;0.1100
1;800;3;c++;1;1.4318;0.0029;0.0539;0.1788
1;700;4;go;3;2.9520;0.0010;0.0350;0.0740
1;800;2;c++;1;1.0110;0.0045;0.0673;0.2788
1;600;1;c++;3;0.7840;0.0012;0.0343;0.0725
1;500;2;c++;3;1.0611;0.0027;0.0518;0.1648
1;900;2;c++;2;1.0080;0.0046;0.0679;0.2832
1;1000;1;c++;2;0.7896;0.0004;0.0192;0.0228
1;1000;1;c++;3;0.7934;0.0005;0.0223;0.0305
1;900;2;c++;1;1.0496;0.0066;0.0815;0.4080
1;600;2;c++;2;1.0153;0.0045;0.0670;0.2759
1;500;3;go;3;5.0480;0.0110;0.1040;0.6660
1;900;5;go;2;2.3320;0.0010;0.0300;0.0540
1;800;2;c++;2;1.0131;0.0049;0.0701;0.3019
1;500;4;c++;2;1.0348;0.0038;0.0619;0.2359
1;1100;3;c++;1;8.9722;0.0244;0.1561;1.4968
1;700;4;go;1;2.9400;0.0060;0.0760;0.3510
1;400;2;go;1;3.3000;0.0160;0.1250;0.9570
1;400;3;c++;3;1.2003;0.0034;0.0582;0.2081
1;700;5;go;3;2.3190;0.0010;0.0280;0.0470
